titleEn,label,durationDays,keyhubCredits,costUsd,tierMult,minRetail,retail,oldPrice,delta,sellauthVariantId,source
Ancient Apex,يوم واحد,1,15,1.5,1.89,2.84,2.99,2.99,0,1179736,catalog
Ancient Apex,أسبوع,7,75,7.5,1.87,14.03,14.79,14.79,0,1179737,catalog
Ancient Apex,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179738,catalog
Arcane Apex,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179774,catalog
Arcane Apex,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179775,catalog
Arcane Apex,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179776,catalog
Ancient BF6,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179742,catalog
Ancient BF6,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179743,catalog
Ancient BF6,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179744,catalog
Arcane BF6,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179786,catalog
Arcane BF6,أسبوع,7,110,11,1.87,20.57,20.79,20.79,0,1179787,catalog
Arcane BF6,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179788,catalog
Ancient COD,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179745,catalog
Ancient COD,أسبوع,7,65,6.5,1.87,12.16,12.79,12.79,0,1179747,catalog
Ancient COD,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179748,catalog
Labcore BO7 and Warzone DMA,يوم واحد,1,48,4.8,1.89,9.07,9.79,9.79,0,1179863,keyhub-api
Labcore BO7 and Warzone DMA,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179864,keyhub-api
Labcore BO7 and Warzone DMA,شهر,30,168,16.8,1.874,31.48,31.49,31.49,0,1179865,keyhub-api
Labcore BO7 and Warzone DMA,3 أشهر,90,450,45,1.85,83.25,83.79,83.79,0,1179866,override
Ancient EFT Chams,يوم واحد,1,15,1.5,1.89,2.84,2.99,2.99,0,1179753,catalog
Ancient EFT Chams,أسبوع,7,35,3.5,1.89,6.61,6.79,6.79,0,1179754,catalog
Ancient EFT Chams,شهر,30,75,7.5,1.87,14.03,14.79,14.79,0,1179755,catalog
Ancient EFT Full,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179756,catalog
Ancient EFT Full,أسبوع,7,125,12.5,1.87,23.38,23.79,23.79,0,1179757,catalog
Ancient EFT Full,شهر,30,250,25,1.874,46.85,47.49,47.49,0,1179758,catalog
Ancient Fortnite,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179759,catalog
Ancient Fortnite,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179760,catalog
Ancient Fortnite,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179761,catalog
Arcane Fortnite,يوم واحد,1,35,3.5,1.89,6.61,6.79,6.79,0,1179818,keyhub-api
Arcane Fortnite,3 Days,3,80,8,1.87,14.96,15.79,15.79,0,1179819,keyhub-api
Arcane Fortnite,أسبوع,7,175,17.5,1.874,32.8,33.49,33.49,0,1179820,keyhub-api
Arcane Fortnite,شهر,30,300,30,1.874,56.22,56.49,56.49,0,1179821,keyhub-api
Ancient Pubg,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179765,catalog
Ancient Pubg,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179766,catalog
Ancient Pubg,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179767,catalog
Arcane Pubg,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179843,keyhub-api
Arcane Pubg,أسبوع,7,110,11,1.87,20.57,20.79,20.79,0,1179844,keyhub-api
Arcane Pubg,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179845,keyhub-api
Ancient R6,يوم واحد,1,15,1.5,1.89,2.84,2.99,2.99,0,1179768,catalog
Ancient R6,أسبوع,7,75,7.5,1.87,14.03,14.79,14.79,0,1179769,catalog
Ancient R6,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179770,catalog
Ancient Rust,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179771,catalog
Ancient Rust,أسبوع,7,125,12.5,1.87,23.38,23.79,23.79,0,1179772,catalog
Ancient Rust,شهر,30,250,25,1.874,46.85,47.49,47.49,0,1179773,catalog
Arcane Rust,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179846,keyhub-api
Arcane Rust,3 Days,3,75,7.5,1.87,14.03,14.79,14.79,0,1179847,keyhub-api
Arcane Rust,أسبوع,7,150,15,1.874,28.11,28.49,28.49,0,1179848,keyhub-api
Arcane Rust,شهر,30,300,30,1.874,56.22,56.49,56.49,0,1179849,keyhub-api
MEMEZ Valorant ESP,يوم واحد,1,18,1.8,1.89,3.4,3.99,3.99,0,1179867,keyhub-api
MEMEZ Valorant ESP,أسبوع,7,72,7.2,1.87,13.46,13.79,13.79,0,1179868,keyhub-api
MEMEZ Valorant ESP,شهر,30,156,15.6,1.874,29.23,29.49,29.49,0,1179869,keyhub-api
MEMEZ Valorant FULL,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179870,keyhub-api
MEMEZ Valorant FULL,أسبوع,7,96,9.6,1.87,17.95,18.79,18.79,0,1179871,keyhub-api
MEMEZ Valorant FULL,شهر,30,192,19.2,1.874,35.98,36.49,36.49,0,1179872,keyhub-api
Ancient Dayz,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179750,catalog
Ancient Dayz,أسبوع,7,150,15,1.874,28.11,28.49,28.49,0,1179751,catalog
Ancient Dayz,شهر,30,300,30,1.874,56.22,56.49,56.49,0,1179752,catalog
Arcane Dayz,يوم واحد,1,15,1.5,1.89,2.84,2.99,2.99,0,1179803,catalog
Arcane Dayz,أسبوع,7,60,6,1.87,11.22,11.79,11.79,0,1179804,catalog
Arcane Dayz,شهر,30,130,13,1.87,24.31,24.79,24.79,0,1179805,catalog
Arcane Marvel Rivals,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179834,keyhub-api
Arcane Marvel Rivals,أسبوع,7,75,7.5,1.87,14.03,14.79,14.79,0,1179835,keyhub-api
Arcane Marvel Rivals,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179836,keyhub-api
Ancient Albion Online,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179733,catalog
Ancient Albion Online,أسبوع,7,75,7.5,1.87,14.03,14.79,14.79,0,1179734,catalog
Ancient Albion Online,شهر,30,150,15,1.874,28.11,28.49,28.49,0,1179735,catalog
Ancient Arc Raiders,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179739,catalog
Ancient Arc Raiders,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179740,catalog
Ancient Arc Raiders,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179741,catalog
Arcane Arc Raiders,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179777,catalog
Arcane Arc Raiders,أسبوع,7,110,11,1.87,20.57,20.79,20.79,0,1179778,catalog
Arcane Arc Raiders,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179779,catalog
Ancient ABI Radar,يوم واحد,1,20,2,1.89,3.78,3.79,3.79,0,1179730,catalog
Ancient ABI Radar,أسبوع,7,100,10,1.87,18.7,18.79,18.79,0,1179731,catalog
Ancient ABI Radar,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179732,catalog
UnnamedTech Arena Breakout Infinite,يوم واحد,1,45,4.5,1.89,8.5,8.79,8.79,0,1179877,keyhub-api
UnnamedTech Arena Breakout Infinite,أسبوع,7,165,16.5,1.874,30.92,31.49,31.49,0,1179878,keyhub-api
UnnamedTech Arena Breakout Infinite,شهر,30,333,33.3,1.874,62.4,62.49,62.49,0,1179879,keyhub-api
Arcane Ark Ascended,يوم واحد,1,30,3,1.89,5.67,5.79,5.79,0,1179780,catalog
Arcane Ark Ascended,أسبوع,7,110,11,1.87,20.57,20.79,20.79,0,1179781,catalog
Arcane Ark Ascended,شهر,30,240,24,1.874,44.98,45.49,45.49,0,1179782,catalog
Arcane Dark and Darker,يوم واحد,1,13,1.3,1.89,2.46,2.99,2.99,0,1179792,catalog
Arcane Dark and Darker,أسبوع,7,30,3,1.89,5.67,5.79,5.79,0,1179793,catalog
Arcane Dark and Darker,شهر,30,60,6,1.87,11.22,11.79,11.79,0,1179794,catalog
Arcane Arma Reforger,يوم واحد,1,25,2.5,1.89,4.72,4.79,4.79,0,1179783,catalog
Arcane Arma Reforger,أسبوع,7,110,11,1.87,20.57,20.79,20.79,0,1179784,catalog
Arcane Arma Reforger,شهر,30,200,20,1.874,37.48,37.49,37.49,0,1179785,catalog
Zcheats Arma Package,يوم واحد,1,42,4.2,1.89,7.94,8.79,8.79,0,1179890,keyhub-api
Zcheats Arma Package,3 Days,3,90,9,1.87,16.83,17.79,17.79,0,1179891,keyhub-api
Zcheats Arma Package,أسبوع,7,150,15,1.874,28.11,28.49,28.49,0,1179892,keyhub-api
Zcheats Arma Package,شهر,30,360,36,1.874,67.46,67.49,67.49,0,1179893,keyhub-api
Arcane CS2,يوم واحد,1,13,1.3,1.89,2.46,2.99,2.99,0,1179789,catalog
Arcane CS2,أسبوع,7,25,2.5,1.89,4.72,4.79,4.79,0,1179790,catalog
Arcane CS2,شهر,30,40,4,1.89,7.56,7.79,7.79,0,1179791,catalog
Predator CS2,يوم واحد,1,9,0.9,2,1.8,1.99,1.99,0,1179873,catalog
